Product,UserId,Duration(ms)
"Fallow T-shirt [S]","0x1943cb6253",14971
"Brilliant Rose Polo shirt [M]","0x41ad685845",16555
"Gray (X11 Gray) Long coat [L]","0xc26ad0d31c",7241
"Gray (X11 Gray) Long coat [L]","0xc8d1eaf7b",9787
"Non-Photo Blue Skirt [L]","0x54c8e6055c",16654
"Pink Pearl T-shirt [M]","0x6c8f07acc1",21045
"Cornflower Blue Shoes [S]","0x669669d0a3",11296
"Pale Silver Polo shirt [M]","0x68195e6aea",17526
"Pale Silver Polo shirt [M]","0x5a09482a03",24461
"Dandelion Shirt [M]","0x86fa1aeecd",22062
"Dandelion Shirt [M]","0x2738e75d0f",14226
"Pale Carmine Jacket [L]","0x8ecb8ffa4c",16919
"Cornflower Blue Shoes [S]","0x813f7fc8ae",19834
"Scarlet (Crayola) Cap [M]","0x2010a0f5d",18057
"Dark Pastel Blue Skirt [M]","0x1cd8292ed6",12501
"Ginger Shirt [M]","0xfb415da318",16153
"Puce Flip-flops [S]","0xedaff0d313",18511
"Old Gold Hat [L]","0x6fcbd64aa7",14702
"Pale Silver Polo shirt [M]","0x5aa1f015f8",7514
"Non-Photo Blue Skirt [L]","0x514946b45",15156
"Scarlet (Crayola) Cap [M]","0x81cd83e5cd",12652
"Dandelion Shirt [M]","0x6c8f07acc1",16267
"Mango Tango Coat [S]","0x95b6c17951",6371
"Scarlet (Crayola) Cap [M]","0x5a09482a03",13590
"Topaz Jeans [S]","0x8ecb8ffa4c",6700
"Baby Blue Jeans [M]","0x9b1500a3eb",15454
"Green (Color Wheel) (X11 Green) Shorts [M]","0xf88bd8391d",11083
"Cornflower Blue Shoes [S]","0xe4bc11830c",14571
"Medium Candy Apple Red Dress [S]","0x110a66198d",9754
"Ginger Shirt [M]","0x2313a12d75",7588
"Brilliant Rose Polo shirt [M]","0x5b93c4deb3",12594
"Baby Blue Jeans [M]","0x17650ff858",17587
"Cream High heels [M]","0x9a1f14d9d4",14973
"Cream High heels [M]","0xdc644da2a3",6803
"Atomic Tangerine Socks [M]","0x6fbbc3e2c6",10556
"Non-Photo Blue Skirt [L]","0x3e7d09f35e",6691
"Deep Chestnut Leather jackets [L]","0x2c8acef043",6973
"Cornflower Blue Shoes [S]","0xa30637be2a",13734
"Azure Mist/Web High heels [S]","0xa30637be2a",20192
"Tickle Me Pink Socks [L]","0x81cd83e5cd",12729
"Brilliant Rose Polo shirt [M]","0xb8202b8686",6629
"Cerulean Frost Polo shirt [M]","0x2313a12d75",20215
"Ecru Flip-flops [L]","0xca09e4e0b4",25409
"Scarlet (Crayola) Cap [M]","0x669669d0a3",10678
"Old Gold Hat [L]","0x6fcbd64aa7",7649
"Cyan (Process) Hat [M]","0x9c16c6bdae",9213
"Light Goldenrod Yellow Jeans [S]","0x5191177363",14754
"Non-Photo Blue Skirt [L]","0x2010a0f5d",9756
"Baby Blue Jeans [M]","0x2313a12d75",5080
"Cornflower Blue Shoes [S]","0x9a1f14d9d4",21658
"Non-Photo Blue Skirt [L]","0x6fbbc3e2c6",20246
"Ecru Flip-flops [L]","0x2738e75d0f",15648
"Air Force Blue (Raf) High heels [M]","0x514946b45",10434
