Product,UserId,Duration(ms)
"Carmine Red Leather jackets [L]","0x5d181799c1",15518
"Cyan (Process) Hat [M]","0xb87f2e6cbe",19419
"Vivid Violet Shoes [S]","0xb96647f9db",12284
"Topaz Jeans [S]","0xac0e64ef6d",15364
"Pale Carmine Jacket [L]","0x58cb9f3c49",15581
"Cerulean Frost Polo shirt [M]","0x19c149d20a",10112
"Cyan (Process) Hat [M]","0x9ed8567363",15375
"Air Force Blue (Raf) High heels [M]","0xd936cf74b",17259
"Lavender Mist Sunglasses [M]","0xff045e546e",11308
"Medium Candy Apple Red Shorts [S]","0xa6da349075",24356
"Ultramarine Shorts [S]","0x8a4e48ba45",11035
"Pale Silver Polo shirt [M]","0x5b77dc81f2",18668
"Scarlet (Crayola) Cap [M]","0x21361b72c1",18274
"Rubine Red Shorts [L]","0xa104590b85",16221
"Dark Pastel Blue Skirt [M]","0xb96647f9db",16500
"Cerulean Frost Polo shirt [M]","0xa5683b629c",12687
"Brilliant Rose Polo shirt [M]","0x21361b72c1",21231
"Beige Hat [L]","0x39542ba2a3",11336
"Deep Chestnut Leather jackets [L]","0xc9a6b26133",17080
"Atomic Tangerine Socks [M]","0x29da281dbc",18498
"Vivid Violet Shoes [S]","0x5d181799c1",16436
"Yellow (Process) Swimsuit [S]","0xcd6fd0f129",15674
"Ginger Shirt [M]","0x891f2812d8",16149
"Cerulean Frost Polo shirt [M]","0x7f28556a08",8345
"Turquoise Blue Jacket [L]","0xaa32f09eae",21052
"Pale Carmine Jacket [L]","0x154df9b29b",21961
"Trolley Grey Socks [M]","0xc9a6b26133",14604
"Turquoise Blue Jacket [L]","0xb96647f9db",16131
"Ultramarine Shorts [S]","0xd0da004871",18777
"Mango Tango Coat [S]","0xded2548c77",19761
"Antique White Flip-flops [S]","0xb8e0ed4729",10573
"Cyan (Process) Hat [M]","0xd936cf74b",19727
"Aurometalsaurus Cap [S]","0x1e025e58ad",12412
"Cornflower Blue Shoes [S]","0xc64444de22",14799
"Cream High heels [M]","0xd2391cd11a",22253
"Scarlet (Crayola) Cap [M]","0x829543e794",19333
"Ecru Flip-flops [L]","0xed3b6e1cf3",16997
"Verdigris Jacket [L]","0xa6da349075",18155
"Medium Candy Apple Red Dress [S]","0x891f2812d8",25360
"Light Apricot Bra [S]","0xc2ac2479e",14721
"Turquoise Blue Jacket [L]","0x21361b72c1",19792
"Pakistan Green Scarf [S]","0xe8b88cf8ba",16577
"Granny Smith Apple Jeans [S]","0x81a59f4900",16414
"Granny Smith Apple Jeans [S]","0xa312188dbf",20124
"Turquoise Blue Jacket [L]","0xd0da004871",10111
"Dandelion Shirt [M]","0x53c24954f4",15857
"Trolley Grey Socks [M]","0x8983c586cd",9573
"Aurometalsaurus Cap [S]","0x21361b72c1",14360
"Hunter Green Bra [S]","0x685894f2ea",17725
"Light Goldenrod Yellow Jeans [S]","0xed3b6e1cf3",22765
"Ginger Shirt [M]","0x98aef4cc87",12236
"Ecru Flip-flops [L]","0x891f2812d8",19115
"Aurometalsaurus Cap [S]","0x6d64e1f2e9",11935
"Hunter Green Bra [S]","0x2bc2f9356e",9524
"Dark Pastel Blue Skirt [M]","0xc9a6b26133",19044
"Medium Candy Apple Red Shorts [S]","0xa3b46322aa",18548
"Dark Pastel Blue Skirt [M]","0x35893ef22a",9188
"Cyan (Process) Hat [M]","0xed3b6e1cf3",16051
"Air Force Blue (Raf) High heels [M]","0x24adc3fb76",19279
"Ginger Shirt [M]","0x2acba8067e",18862
"Green (Color Wheel) (X11 Green) Shorts [M]","0xafb8731d7a",13036
"Medium Candy Apple Red Shorts [S]","0x96ae70b807",14644
"Aurometalsaurus Cap [S]","0xed3b6e1cf3",11514
"Turquoise Blue Jacket [L]","0x2e5a488b01",20438
"Rubine Red Shorts [L]","0x588fd63f4d",11722
"Cerulean Frost Polo shirt [M]","0xf259644387",21665
"Deep Chestnut Leather jackets [L]","0x382ad0ad71",18328
"Pink Pearl T-shirt [M]","0x558af38723",14775
"Lavender Mist Sunglasses [M]","0xdec477cce8",19053
"Lavender Mist Sunglasses [M]","0xa217d68d05",11642
"Beige Hat [L]","0x21361b72c1",14434
"Trolley Grey Socks [M]","0x258eeaed4c",24478
"Light Apricot Bra [S]","0x3dca7592fe",14408
"Pakistan Green Scarf [S]","0x1e025e58ad",17984
"Light Apricot Bra [S]","0xed3b6e1cf3",18517
"Pink Pearl T-shirt [M]","0xb8e0ed4729",21945
"Beige Hat [L]","0xd8f60733e8",17694
"Aurometalsaurus Cap [S]","0xc9163be924",24086
"Tickle Me Pink Socks [L]","0xd936cf74b",14354
"Lavender Mist Sunglasses [M]","0xdec477cce8",18472
"Azure Mist/Web High heels [S]","0x9ed8567363",18258
"Pale Silver Polo shirt [M]","0x5d181799c1",3214
"Yellow (Ncs) Shirt [M]","0xc9163be924",14710
"Medium Candy Apple Red Shorts [S]","0x7f28556a08",21814
"Fallow T-shirt [S]","0x558af38723",21259
"Ginger Shirt [M]","0x382ad0ad71",16866
"Dandelion Shirt [M]","0xa6da349075",21894
"Lavender Mist Sunglasses [M]","0x781f644f6a",19496
"Rubine Red T-shirt [M]","0xa6da349075",18048
"Old Gold Hat [L]","0xf5f1a2d7a1",20191
"Light Red Ochre Leather jackets [M]","0xc016382ee4",16040
"Pale Silver Polo shirt [M]","0xb96647f9db",10004
"Tickle Me Pink Socks [L]","0xdec477cce8",19307
"Beige Hat [L]","0x7b55feed52",14242
"Pale Carmine Jacket [L]","0xc16668ef5",23799
"Yellow (Ncs) Shirt [M]","0xd0da004871",15170
"Yellow (Ncs) Shirt [M]","0x781f644f6a",20096
"Deep Chestnut Leather jackets [L]","0xb4b69e3071",23067
"Vivid Violet Shoes [S]","0xe4148340b9",18015
"Green (Color Wheel) (X11 Green) Shorts [M]","0x7d6524093d",11634
"Gray (X11 Gray) Long coat [L]","0x303a57fa61",6143
"Rubine Red T-shirt [M]","0x2314546188",12098
"Vivid Violet Shoes [S]","0x98aef4cc87",13771
"Topaz Jeans [S]","0x29da281dbc",21399
"Beige Hat [L]","0x2bc2f9356e",15393
"Antique White Flip-flops [S]","0xab64393a77",16537
"Light Apricot Bra [S]","0xff045e546e",18951
"Azure Mist/Web High heels [S]","0xa162de57a0",13052
"Yellow (Ncs) Shirt [M]","0x35893ef22a",15919
"Vivid Violet Shoes [S]","0xa3b46322aa",17617
"Trolley Grey Hoodies [M]","0x85a5c84739",14308
"Aurometalsaurus Cap [S]","0x53c24954f4",16082
"Medium Candy Apple Red Shorts [S]","0xd0da004871",21388
"Dark Pastel Blue Skirt [M]","0xbb6dcac4a8",21728
"Pink Pearl T-shirt [M]","0xc2ac2479e",20708
"Dandelion Shirt [M]","0x8a4e48ba45",9330
"Gray (X11 Gray) Long coat [L]","0x7d6524093d",16708
"Cornflower Blue Shoes [S]","0xc9163be924",14842
"Rubine Red Shorts [L]","0xa162de57a0",15306
"Light Goldenrod Yellow Jeans [S]","0x908154d143",15463
"Tickle Me Pink Socks [L]","0x37f9a462e5",24634
"Verdigris Jacket [L]","0xbb6dcac4a8",18582
"Lavender Mist Sunglasses [M]","0x39542ba2a3",12885
"Vivid Violet Shoes [S]","0x74b3ddfe6f",14608
"Gray (X11 Gray) Long coat [L]","0x8e422782ad",13006
"Cerulean Frost Polo shirt [M]","0x132b20672a",11064
"Cerulean Frost Polo shirt [M]","0x558af38723",17613
"Cream High heels [M]","0x28f07af06e",15190
"Green (Color Wheel) (X11 Green) Shorts [M]","0xc016382ee4",19626
"Medium Candy Apple Red Shorts [S]","0xb4b69e3071",11010
"Tickle Me Pink Socks [L]","0x7b55feed52",16018
"Cyan (Process) Hat [M]","0x27757fbb37",24614
"Rubine Red Shorts [L]","0xf259644387",12640
"Ginger Shirt [M]","0x3dca7592fe",20363
"Cream High heels [M]","0x4b0cf7415d",26527
"Carmine Red Leather jackets [L]","0xf5f1a2d7a1",16329
"Yellow (Ncs) Shirt [M]","0xcd6fd0f129",12588
"Light Red Ochre Leather jackets [M]","0x3fff7447a6",6975
"Scarlet (Crayola) Cap [M]","0xa104590b85",20256
"Verdigris Jacket [L]","0xfb034c46c1",29524
"Trolley Grey Hoodies [M]","0x2bc2f9356e",9286
"Dark Pastel Blue Skirt [M]","0x303a57fa61",8623
"Hunter Green Bra [S]","0xded2548c77",19616
