Product,UserId,Duration(ms)
"Pink Pearl T-shirt [M]","0xed070296aa",9271
"Rubine Red T-shirt [M]","0x644f9b007a",19295
"Light Red Ochre Leather jackets [M]","0x67c9a6d8b9",16787
"Medium Candy Apple Red Dress [S]","0x361335fe5b",11764
"Aurometalsaurus Cap [S]","0x8a7495f041",24627
"Dandelion Shirt [M]","0xb314e616ee",22465
"Verdigris Jacket [L]","0x36c38a3988",14115
"Atomic Tangerine Socks [M]","0xfe7045878a",9533
"Old Gold Hat [L]","0xf97bde8baa",12718
"Trolley Grey Socks [M]","0xed070296aa",37353
"Pink Pearl T-shirt [M]","0x8875159d4d",23692
"Cream High heels [M]","0x91e190efd5",27735
"Mango Tango Coat [S]","0x298a56b5ab",29788
"Pakistan Green Scarf [S]","0x20da784989",12409
"Lavender Mist Sunglasses [M]","0xc558984b85",20628
"Cream High heels [M]","0x4bcc7fb776",24900
"Verdigris Jacket [L]","0x6b0af9f770",21155
"Cream High heels [M]","0x590d3b2dbe",15882
"Fallow T-shirt [S]","0x81330cacd",5779
"Fallow T-shirt [S]","0x1ceb2f77e5",18591
"Baby Blue Jeans [M]","0x875f36f53d",16367
"Mango Tango Coat [S]","0x84ff47092b",22394
"Atomic Tangerine Socks [M]","0x298a56b5ab",14186
"Gray (X11 Gray) Long coat [L]","0x74acb9bd46",32173
"Trolley Grey Hoodies [M]","0x361335fe5b",10804
"Puce Flip-flops [S]","0xf97bde8baa",25598
"Cerulean Frost Polo shirt [M]","0xda81c38c15",18440
"Rubine Red Shorts [L]","0xd07ec05d63",20259
"Medium Candy Apple Red Shorts [S]","0x6301286b57",19976
"Puce Flip-flops [S]","0xedb43dcbef",11384
"Yellow (Ncs) Shirt [M]","0xa3bd1dbebd",19279
"Dark Pastel Blue Skirt [M]","0xa797c6c53b",12247
"Ginger Shirt [M]","0xc72563b76f",26471
"Light Apricot Bra [S]","0xd2c5aa8af4",12983
"Fallow T-shirt [S]","0xf1ce905e53",27599
"Brilliant Rose Polo shirt [M]","0xc72563b76f",17828
"Carmine Red Leather jackets [L]","0x223976a5c7",22518
"Beige Hat [L]","0xed070296aa",33276
"Scarlet (Crayola) Cap [M]","0xedb43dcbef",12284
"Cyan (Process) Hat [M]","0x590d3b2dbe",22888
"Ginger Shirt [M]","0xcf3b641653",17716
"Pale Carmine Jacket [L]","0xb314e616ee",11412
"Tickle Me Pink Socks [L]","0xf97bde8baa",19937
"Trolley Grey Socks [M]","0xfb8388b30a",32584
"Pale Carmine Jacket [L]","0x8edd7f7916",13554
"Yellow (Process) Swimsuit [S]","0x74acb9bd46",22688
"Green (Color Wheel) (X11 Green) Shorts [M]","0x1f5c79f4fd",30010
"Trolley Grey Socks [M]","0x56f3dc8f33",17692
"Turquoise Blue Jacket [L]","0xedb43dcbef",25091
"Baby Blue Jeans [M]","0x4052bead02",36097
"Verdigris Jacket [L]","0x223976a5c7",23125
"Aurometalsaurus Cap [S]","0xa33ea8106c",18966
"Granny Smith Apple Jeans [S]","0x6b0e53f66b",20177
"Trolley Grey Hoodies [M]","0xa9bde4fd4a",4736
"Turquoise Blue Jacket [L]","0x644f9b007a",19059
"Green (Color Wheel) (X11 Green) Shorts [M]","0x8cd8b5e0e0",16519
"Antique White Flip-flops [S]","0x56f3dc8f33",31410
"Pale Silver Polo shirt [M]","0x44a2992999",33277
"Light Apricot Bra [S]","0xa8467f3934",22250
"Topaz Jeans [S]","0x56f3dc8f33",28614
