Product,UserId,Duration(ms)
"Medium Candy Apple Red Dress [S]","0xe80f347b9f",5962
"Cyan (Process) Hat [M]","0x59b7462026",5229
"Turquoise Blue Jacket [L]","0xbf564911e2",11693
"Light Red Ochre Leather jackets [M]","0x32e8beef5c",23385
"Light Goldenrod Yellow Jeans [S]","0xcfe7207bd7",8996
"Granny Smith Apple Jeans [S]","0x6705d09b4a",14915
"Turquoise Blue Jacket [L]","0x59b7462026",14297
"Tickle Me Pink Socks [L]","0x4e05aababa",7449
"Cornflower Blue Shoes [S]","0x194293453a",6623
"Old Gold Hat [L]","0x590f259669",17063
"Yellow (Ncs) Shirt [M]","0xb9e50e3aa",5071
"Ecru Flip-flops [L]","0xc3ace09bc5",8437
"Mango Tango Coat [S]","0x1be065eee6",5892
"Baby Blue Jeans [M]","0xd5280739ad",19131
"Pale Carmine Jacket [L]","0x7be7c018d6",6222
"Cornflower Blue Shoes [S]","0x6705d09b4a",15474
"Turquoise Blue Jacket [L]","0x692f84749c",5407
"Antique White Flip-flops [S]","0xb6697e4b63",8175
"Dandelion Shirt [M]","0xa73607a596",10606
"Green (Color Wheel) (X11 Green) Shorts [M]","0x3d84ac2e4a",6357
"Medium Candy Apple Red Dress [S]","0x7961d2a0ae",5169
"Pink Pearl T-shirt [M]","0xe34a3c7e34",26515
"Cyan (Process) Hat [M]","0x8d1baf147e",16920
"Trolley Grey Hoodies [M]","0x8d1baf147e",8044
"Verdigris Jacket [L]","0x62f7d7cab",51830
"Rubine Red T-shirt [M]","0x1c7b5c9a0a",15265
"Cornflower Blue Shoes [S]","0xbcfb0b65a2",7449
"Medium Candy Apple Red Shorts [S]","0x590f259669",5008
"Atomic Tangerine Socks [M]","0x7961d2a0ae",12819
"Ultramarine Shorts [S]","0x14eb7643da",11341
"Tickle Me Pink Socks [L]","0xefcd167ea9",47334
"Air Force Blue (Raf) High heels [M]","0x590f259669",29553
"Mango Tango Coat [S]","0xa7aa095ae7",13164
"Fallow T-shirt [S]","0xd46b12b7e0",8060
"Non-Photo Blue Skirt [L]","0x97941afa36",5134
"Aurometalsaurus Cap [S]","0xc7454330e0",15836
"Aurometalsaurus Cap [S]","0x1be065eee6",5009
"Azure Mist/Web High heels [S]","0x17896fd68d",21167
"Atomic Tangerine Socks [M]","0x8b0578d2e0",12247
"Lavender Mist Sunglasses [M]","0x4d984949ee",5353
"Yellow (Process) Swimsuit [S]","0xd5280739ad",7343
"Ginger Shirt [M]","0xb98f8a7191",17795
"Baby Blue Jeans [M]","0xa998c7cae0",7193
"Cornflower Blue Shoes [S]","0x3d84ac2e4a",8583
"Puce Flip-flops [S]","0xced717d556",20043
"Azure Mist/Web High heels [S]","0x18e5f64793",6572
"Cornflower Blue Shoes [S]","0xc3abeb67b1",5000
"Aurometalsaurus Cap [S]","0xca03f549c",5033
"Gray (X11 Gray) Long coat [L]","0x14eb7643da",23416
"Lavender Mist Sunglasses [M]","0xd6a3bf8fe1",10366
"Verdigris Jacket [L]","0xf1961c2470",7099
"Rubine Red Shorts [L]","0x2a4da25684",22746
"Fallow T-shirt [S]","0xc3abeb67b1",26210
"Light Red Ochre Leather jackets [M]","0x8b0578d2e0",64916
"Green (Color Wheel) (X11 Green) Shorts [M]","0x385c1a42f6",7658
"Antique White Flip-flops [S]","0xd6a3bf8fe1",33745
"Scarlet (Crayola) Cap [M]","0x32e8beef5c",5817
"Medium Candy Apple Red Dress [S]","0x533a2ed769",49235
"Cornflower Blue Shoes [S]","0xfa2fe41240",23109
"Trolley Grey Socks [M]","0x112c6654b1",33431
"Pink Pearl T-shirt [M]","0xb98f8a7191",19325
"Vivid Violet Shoes [S]","0xa6624e100c",24734
"Pink Pearl T-shirt [M]","0x26d9465a70",25973
"Yellow (Ncs) Shirt [M]","0x7be7c018d6",9550
"Pink Pearl T-shirt [M]","0x26d9465a70",6246
"Tickle Me Pink Socks [L]","0xa7aa095ae7",28691
"Pale Silver Polo shirt [M]","0x533a2ed769",10381
"Light Apricot Bra [S]","0x6789ff2353",25130
"Deep Chestnut Leather jackets [L]","0xb884d24166",5023
"Green (Color Wheel) (X11 Green) Shorts [M]","0xc3abeb67b1",18100
